Hot line,RAM,Screen size,CPU speed,Hard disk,CD ROM,Cache,Color of unit,Availability,Warranty,Software,Guarantee,Price
1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1
1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1
1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1
1,1,-1,1,-1,1,1,1,1,1,-1,1,-1
1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1
-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1
-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1
-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1
-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1
1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1
-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1
-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1
-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1
-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1
1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1
-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1
1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1
