Comparisons  Individual1    Individual2    Individual3    Individual4    Individual5    Individual6    Individual7    Individual8    Individual9    Individual10
1  1    3   2   2   1   1   3   3   2   1
2  1    2   3   3   1   3   2   3   2   1
3  2    3   2   1   1   3   2   3   1   2
4  2    2   2   1   1   1   2   1   3   2
5  1    2   3   1   3   2   2   3   2   3
6  3    1   3   2   2   1   3   3   2   2
7  2    2   2   2   3   1   2   1   2   2
8  3    1   2   2   3   2   1   2   3   3
9  1    1   3   1   1   1   3   1   1   3
10 2    1   1   2   2   3   3   3   2   2
11 1    2   1   2   1   3   1   2   3   1
12 2    1   1   2   2   1   1   1   1   2
13 2    3   3   3   1   2   2   2   2   2
14 1    3   3   2   1   2   3   1   3   1
15 3    1   2   1   2   3   1   3   1   1
16 1    1   2   2   2   2   3   2   3   1
17 1    1   2   3   3   1   1   2   3   3
18 3    2   3   3   2   1   2   3   2   2
19 3    3   3   3   1   2   3   1   3   3
20 2    2   1   2   2   1   2   2   2   2
